prix;Kilométrage;Mise en circulation;Énergie;Boite vitesse;Puissance fiscale;Transmission;Carrosserie;Date de l'annonce;Gouvernorat;Marque;Modèle;Génération;Couleur extérieure;Couleur intérieure;Sellerie;Nombre de places;Nombre de portes;Cylindrée
30000DT;154000km;03.2010;Essence;Manuelle;6cv;Traction;Coupé;07.03.2024;BenArous;Ford;Focus;IIHatchbackPhase2;"""""";"""""";"""""";"""""";"""""";""""""
98000DT;131000km;06.2019;Essence;Automatique;7cv;Traction;Citadine;07.03.2024;Nabeul;Mercedes-Benz;ClasseA;"""""";Noir;Noir;Tissu;5;4;1332cm³
80000DT;165000km;08.2014;Essence;Automatique;9cv;Traction;Berline;07.03.2024;Nabeul;BMW;Série5;(F10LCI)Berline;"""""";"""""";"""""";"""""";"""""";""""""
31500DT;265000km;05.2009;Essence;Manuelle;7cv;Traction;Berline;07.03.2024;Ariana;Volkswagen;Passat;B6Berline;"""""";"""""";"""""";"""""";"""""";""""""
90000DT;214000km;10.2017;Essence;Automatique;7cv;Propulsion;Berline;07.03.2024;Tunis;BMW;Série4GranCoupé;(F36)GranCoupé;"""""";"""""";"""""";"""""";"""""";""""""
95000DT;18000km;09.2020;Essence;Automatique;9cv;Traction;SUV/4x4;07.03.2024;Kasserine;Haval;H6;"""""";Noir;Marron;Cuirintégral;5;5;1600cm³
55000DT;86000km;06.2017;Essence;Manuelle;7cv;Traction;SUV/4x4;07.03.2024;Sousse;Ssangyong;Tivoli;"""""";Noir;Beige;Similicuir;5;5;1600cm³
82000DT;175000km;08.2017;Diesel;Automatique;6cv;Traction;SUV/4x4;08.03.2024;BenArous;Peugeot;3008;II;"""""";"""""";"""""";"""""";"""""";""""""
42000DT;137600km;10.2016;Essence;Manuelle;5cv;Traction;SUV/4x4;08.03.2024;Ariana;Peugeot;2008;(A94)5HB;"""""";"""""";"""""";"""""";"""""";""""""
24000DT;366000km;04.2015;Diesel;Manuelle;6cv;Traction;Utilitaire;08.03.2024;Sousse;Dacia;DokkerVan;Van;"""""";"""""";"""""";"""""";"""""";""""""
83000DT;129000km;10.2016;Essence;Automatique;9cv;Traction;SUV/4x4;08.03.2024;Tunis;Toyota;RAV4;"""""";Grisanthracite;Noir;Cuirintégral;5;5;2000cm³
138000DT;122000km;07.2016;Essence;Automatique;8cv;Traction;Coupé;08.03.2024;Ariana;Mercedes-Benz;ClasseCcoupé;"""""";Noir;Rouge;Cuirintégral;5;3;1600cm³
480000DT;19000km;06.2022;Hybriderechargeableessence;Automatique;21cv;Intégrale;SUV/4x4;08.03.2024;Ariana;Porsche;Cayenne;"""""";Grisanthracite;Rouge;Cuirintégral;5;5;2998cm³
79000DT;130000km;10.2016;Essence;Automatique;7cv;Propulsion;Autres;08.03.2024;Ariana;BMW;Série3;"""""";Noir;Rouge;Cuirintégral;5;4;899cm³
148000DT;70000km;06.2019;Essence;Automatique;7cv;Traction;Autres;08.03.2024;Ariana;Mercedes-Benz;CLA;"""""";Autre;"""""";Cuirintégral;"""""";"""""";""""""
238000DT;31000km;07.2021;Essence;Automatique;19cv;Intégrale;Autres;08.03.2024;Ariana;Volkswagen;Golf8;"""""";Autre;"""""";"""""";"""""";"""""";""""""
39000DT;25000km;08.2018;Essence;Manuelle;7cv;Intégrale;SUV/4x4;08.03.2024;Tunis;Lada;Niva;"""""";Vert;Gris;Tissu;4;3;1690cm³
48000DT;80000km;08.2020;Essence;Automatique;7cv;Traction;Berline;08.03.2024;Tunis;Honda;City;"""""";Noir;Noir;Tissu;5;4;1497cm³
32000DT;56000km;10.2021;Essence;Manuelle;6cv;Intégrale;Berline;08.03.2024;Tunis;Geely;GC6;"""""";Noir;Beige;Tissu;5;4;1498.0cm³
